# FULL owned pool: every B/R-identity, Brawl-legal card in the Arena collection (n=1506)
# Sorted by Kuja-corpus inclusion % (6,983 real Kuja decks), then EDHREC rank. incl=- means no corpus row.
# columns: NAME | COST | TYPE | incl | TAGS | oracle

Black Waltz No. 3 | {2}{B}{R} | Legendary Creature - Wizard | 90.5 | WIZ,CAST-TRIG,PING | Flying, deathtouch / Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Thespian's Stage |  | Land | - | LAND | {T}: Add {C}. / {2}, {T}: This land becomes a copy of target land, except it has this ability.
Grave Pact | {1}{B}{B}{B} | Enchantment | - |  | Whenever a creature you control dies, each other player sacrifices a creature of their choice.
Emerald Medallion | {2} | Artifact | - | CHEAPER | Green spells you cast cost {1} less to cast.
Vault of Whispers |  | Artifact Land | - | LAND | {T}: Add {B}.
Banner of Kinship | {5} | Artifact | - | RMVL | As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type. / Creatures you control of the chosen 
Boggart Trawler // Boggart Bog | {2}{B} | Creature - Goblin // Land | - | LAND,RMVL | When this creature enters, exile target player's graveyard. / // / As this land enters, you may pay 3 life. If you don't, it enters tapped. / {T}: Add {B}.
Purphoros, God of the Forge | {3}{R} | Legendary Enchantment Creature - God | - | PING | Indestructible / As long as your devotion to red is less than five, Purphoros isn't a creature. / Whenever another creature you control enters, Purphoros deals 2 damage to each opponent. / {
Palladium Myr | {3} | Artifact Creature - Myr | - | MANA | {T}: Add {C}{C}.
Starting Town |  | Land - Town | - | LAND | This land enters tapped unless it's your first, second, or third turn of the game. / {T}: Add {C}. / {T}, Pay 1 life: Add one mana of any color.
Meteor Golem | {7} | Artifact Creature - Golem | - | RMVL | When this creature enters, destroy target nonland permanent an opponent controls.
Reassembling Skeleton | {1}{B} | Creature - Skeleton Warrior | - |  | {1}{B}: Return this card from your graveyard to the battlefield tapped.
Enduring Tenacity | {2}{B}{B} | Enchantment Creature - Snake Glimmer | - |  | Whenever you gain life, target opponent loses that much life. / When Enduring Tenacity dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment
Colossus Hammer | {1} | Artifact - Equipment | - |  | Equipped creature gets +10/+10 and loses flying. / Equip {8}
Bloodthirsty Conqueror | {3}{B}{B} | Creature - Vampire Knight | - |  | Flying, deathtouch / Whenever an opponent loses life, you gain that much life.
Scrap Trawler | {3} | Artifact Creature - Construct | - |  | Whenever this creature dies or another artifact you control is put into a graveyard from the battlefield, return to your hand target artifact card in your graveyard with lesser mana value.
Unearth | {B} | Sorcery | - |  | Return target creature card with mana value 3 or less from your graveyard to the battlefield. / Cycling {2}
Agadeem's Awakening // Agadeem, the Undercrypt | {X}{B}{B}{B} | Sorcery // Land | - | LAND,RITUAL | Return from your graveyard to the battlefield any number of target creature cards that each have a different mana value X or less. / // / As this land enters, you may pay 3 life. If you don'
Escape Tunnel |  | Land | - | LAND | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. / {T}, Sacrifice this land: Target creature with power 2 or less can't 
Cabaretti Courtyard |  | Land | - | LAND | When this land enters, sacrifice it. When you do, search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Monument to Endurance | {3} | Artifact | - | TREAS | Whenever you discard a card, choose one that hasn't been chosen this turn — / • Draw a card. / • Create a Treasure token. / • Each opponent loses 3 life.
The Soul Stone | {1}{B} | Legendary Artifact - Infinity Stone | - | MANA | Indestructible / {T}: Add {B}. / {6}{B}, {T}, Exile a creature you control: Harness The Soul Stone. / ∞ — At the beginning of your upkeep, return target creature card from your graveyard to 
Sokenzan, Crucible of Defiance |  | Legendary Land | - | LAND | {T}: Add {R}. / Channel — {3}{R}, Discard this card: Create two 1/1 colorless Spirit creature tokens. They gain haste until end of turn. This ability costs {1} less to activate for each lege
Nettlecyst | {3} | Artifact - Equipment | - |  | Living weapon / Equipped creature gets +1/+1 for each artifact and/or enchantment you control. / Equip {2}
Midnight Reaper | {2}{B} | Creature - Zombie Knight | - |  | Whenever a nontoken creature you control dies, this creature deals 1 damage to you and you draw a card.
Bloodghast | {B}{B} | Creature - Vampire Spirit | - |  | This creature can't block. / This creature has haste as long as an opponent has 10 or less life. / Landfall — Whenever a land you control enters, you may return this card from your graveyard
Mesmeric Orb | {2} | Artifact | - |  | Whenever a permanent becomes untapped, that permanent's controller mills a card.
Krenko, Mob Boss | {2}{R}{R} | Legendary Creature - Goblin Warrior | - |  | {T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control.
Mishra's Bauble | {0} | Artifact | - | CANTRIP | {T}, Sacrifice this artifact: Look at the top card of target player's library. Draw a card at the beginning of the next turn's upkeep.
Marauding Blight-Priest | {2}{B} | Creature - Vampire Cleric | - |  | Whenever you gain life, each opponent loses 1 life.
Great Train Heist | {R} | Instant | - | TREAS | Spree / + {2}{R} — Untap all creatures you control. If it's your combat phase, there is an additional combat phase after this phase. / + {2} — Creatures you control get +1/+0 and gain first 
Grim Haruspex | {2}{B} | Creature - Human Wizard | - | WIZ | Morph {B} / Whenever another nontoken creature you control dies, draw a card.
Enduring Courage | {2}{R}{R} | Enchantment Creature - Dog Glimmer | - |  | Whenever another creature you control enters, it gets +2/+0 and gains haste until end of turn. / When Enduring Courage dies, if it was a creature, return it to the battlefield under its owne
Plumb the Forbidden | {1}{B} | Instant | - | CANTRIP,RMVL | As an additional cost to cast this spell, you may sacrifice one or more creatures. When you do, copy this spell for each creature sacrificed this way. / You draw a card and lose 1 life.
Goblin Engineer | {1}{R} | Creature - Goblin Artificer | - |  | When this creature enters, you may search your library for an artifact card, put it into your graveyard, then shuffle. / {R}, {T}, Sacrifice an artifact: Return target artifact card with man
Painful Quandary | {3}{B}{B} | Enchantment | - |  | Whenever an opponent casts a spell, that player loses 5 life unless they discard a card.
Thriving Bluff |  | Land | - | LAND | This land enters tapped. As it enters, choose a color other than red. / {T}: Add {R} or one mana of the chosen color.
Thriving Moor |  | Land | - | LAND | This land enters tapped. As it enters, choose a color other than black. / {T}: Add {B} or one mana of the chosen color.
Tezzeret, Cruel Captain | {3} | Legendary Planeswalker - Tezzeret | - |  | Whenever an artifact you control enters, put a loyalty counter on Tezzeret. / 0: Untap target artifact or creature. If it's an artifact creature, put a +1/+1 counter on it. / −3: Search your
Mirage Mirror | {3} | Artifact | - |  | {2}: This artifact becomes a copy of target artifact, creature, enchantment, or land until end of turn.
Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel | {2}{B} | Legendary Creature - Human Avatar Soldier // Legendary Creature — Angel Nightmare Avatar | - |  | Whenever Sephiroth enters or attacks, you may sacrifice another creature. If you do, draw a card. / Whenever another creature dies, target opponent loses 1 life and you gain 1 life. If this 
Rune-Scarred Demon | {5}{B}{B} | Creature - Demon | - |  | Flying / When this creature enters, search your library for a card, put it into your hand, then shuffle.
Brokers Hideout |  | Land | - | LAND | When this land enters, sacrifice it. When you do, search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Vexing Bauble | {1} | Artifact | - | CANTRIP | Whenever a player casts a spell, if no mana was spent to cast it, counter that spell. / {1}, {T}, Sacrifice this artifact: Draw a card.
Valgavoth, Terror Eater | {6}{B}{B}{B} | Legendary Creature - Elder Demon | - |  | Flying, lifelink / Ward—Sacrifice three nonland permanents. / If a card you didn't control would be put into an opponent's graveyard from anywhere, exile it instead. / During your turn, you 
Valakut, the Molten Pinnacle |  | Land | - | LAND,PING | This land enters tapped. / Whenever a Mountain you control enters, if you control at least five other Mountains, you may have this land deal 3 damage to any target. / {T}: Add {R}.
Ad Nauseam | {3}{B}{B} | Instant | - |  | Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.
Skirk Prospector | {R} | Creature - Goblin | - | MANA | Sacrifice a Goblin: Add {R}.
Astral Cornucopia | {X}{X}{X} | Artifact | - |  | This artifact enters with X charge counters on it. / {T}: Choose a color. Add one mana of that color for each charge counter on this artifact.
Dolmen Gate | {2} | Artifact | - |  | Prevent all combat damage that would be dealt to attacking creatures you control.
Pristine Talisman | {3} | Artifact | - | MANA | {T}: Add {C}. You gain 1 life.
Conqueror's Flail | {2} | Artifact - Equipment | - |  | Equipped creature gets +1/+1 for each color among permanents you control. / As long as this Equipment is attached to a creature, your opponents can't cast spells during your turn. / Equip {2
Soul-Guide Lantern | {1} | Artifact | - | CANTRIP,RMVL | When this artifact enters, exile target card from a graveyard. / {T}, Sacrifice this artifact: Exile each opponent's graveyard. / {1}, {T}, Sacrifice this artifact: Draw a card.
Vampiric Rites | {B} | Enchantment | - | CANTRIP | {1}{B}, Sacrifice a creature: You gain 1 life and draw a card.
Agatha's Soul Cauldron | {2} | Legendary Artifact | - | RMVL | You may spend mana as though it were mana of any color to activate abilities of creatures you control. / Creatures you control with +1/+1 counters on them have all activated abilities of all
Secret Tunnel |  | Land - Cave | - | LAND | This land can't be blocked. / {T}: Add {C}. / {4}, {T}: Two target creatures you control that share a creature type can't be blocked this turn.
Shatterskull Smashing // Shatterskull, the Hammer Pass | {X}{R}{R} | Sorcery // Land | - | LAND,DMG2X,RITUAL | Shatterskull Smashing deals X damage divided as you choose among up to two target creatures and/or planeswalkers. If X is 6 or more, Shatterskull Smashing deals twice X damage divided as you
All Will Be One | {3}{R}{R} | Enchantment | - |  | Whenever you put one or more counters on a permanent or player, this enchantment deals that much damage to target opponent, creature an opponent controls, or planeswalker an opponent control
Dark Depths |  | Legendary Snow Land | - | LAND | Dark Depths enters with ten ice counters on it. / {3}: Remove an ice counter from Dark Depths. / When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a leg
Fling | {1}{R} | Instant | - |  | As an additional cost to cast this spell, sacrifice a creature. / Fling deals damage equal to the sacrificed creature's power to any target.
Witty Roastmaster | {2}{R} | Creature - Devil Citizen | - | PING | Alliance — Whenever another creature you control enters, this creature deals 1 damage to each opponent.
Weftstalker Ardent | {2}{R} | Creature - Drix Artificer | - | PING | Whenever another creature or artifact you control enters, this creature deals 1 damage to each opponent. / Warp {R}
Arid Archway |  | Land - Desert | - | LAND | This land enters tapped. / When this land enters, return a land you control to its owner's hand. If another Desert was returned this way, surveil 1. / {T}: Add {C}{C}.
Diamond Pick-Axe | {R} | Artifact - Equipment | - | TREAS | Indestructible / Equipped creature gets +1/+1 and has "Whenever this creature attacks, create a Treasure token." / Equip {2}
Bulk Up | {1}{R} | Instant | - |  | Double target creature's power until end of turn. / Flashback {4}{R}{R}
Scourge of Valkas | {2}{R}{R}{R} | Creature - Dragon | - | PING | Flying / Whenever this creature or another Dragon you control enters, it deals X damage to any target, where X is the number of Dragons you control. / {R}: This creature gets +1/+0 until end
Adventurer's Inn |  | Land - Town | - | LAND | When this land enters, you gain 2 life. / {T}: Add {C}.
Brass's Tunnel-Grinder // Tecutlan, the Searing Rift | {2}{R} | Legendary Artifact // Legendary Land - Cave | - | LAND,CAST-TRIG | When Brass's Tunnel-Grinder enters, discard any number of cards, then draw that many cards plus one. / At the beginning of your end step, if you descended this turn, put a bore counter on Br
Thran Power Suit | {2} | Artifact - Equipment | - |  | Equipped creature gets +1/+1 for each Aura and Equipment attached to it and has ward {2}. / Equip {2}
Umbral Collar Zealot | {1}{B} | Creature - Human Cleric | - |  | Sacrifice another creature or artifact: Surveil 1.
Deserted Temple |  | Land | - | LAND | {T}: Add {C}. / {1}, {T}: Untap target land.
Chronicle of Victory | {6} | Legendary Artifact | - | CAST-TRIG | As Chronicle of Victory enters, choose a creature type. / Creatures you control of the chosen type get +2/+2 and have first strike and trample. / Whenever you cast a spell of the chosen type
Fomori Vault |  | Land | - | LAND | {T}: Add {C}. / {3}, {T}, Discard a card: Look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest on the b
Valgavoth's Lair |  | Enchantment Land | - | LAND | Hexproof / This land enters tapped. As it enters, choose a color. / {T}: Add one mana of the chosen color.
